접수년월,경찰서명,신고건수전체,신고성별남성,신고성별여성,신고성별불상,신고성별기타,접수긴급유형긴급,접수긴급유형중요,접수긴급유형일반,접수긴급유형민원,접수긴급유형기타,발생요일일요일,발생요일월요일,발생요일화요일,발생요일수요일,발생요일목요일,발생요일금요일,발생요일토요일,발생시간대00,발생시간대01,발생시간대02,발생시간대03,발생시간대04,발생시간대05,발생시간대06,발생시간대07,발생시간대08,발생시간대09,발생시간대10,발생시간대11,발생시간대12,발생시간대13,발생시간대14,발생시간대15,발생시간대16,발생시간대17,발생시간대18,발생시간대19,발생시간대20,발생시간대21,발생시간대22,발생시간대23
202312,서울영등포,29,12,14,3,0,0,1,27,0,1,6,4,2,4,3,2,8,3,1,3,1,1,0,0,2,0,0,0,0,0,1,1,3,1,1,6,0,3,1,1,0
202312,서울서대문,30,20,2,8,0,0,2,27,0,1,8,0,5,6,4,5,2,1,0,0,0,0,0,0,2,2,0,1,0,0,0,1,0,1,2,2,2,5,2,6,3
202312,서울금천,25,15,9,1,0,0,4,21,0,0,4,3,3,2,2,2,9,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,4,1,4,3,1,5
202312,서울강북,38,19,11,8,0,0,2,36,0,0,5,7,6,6,3,6,5,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,5,3,2,4,1,4,4,5,3
202312,서울강서,52,29,7,16,0,0,4,46,2,0,7,4,9,8,7,10,7,1,3,1,0,0,0,0,0,0,0,0,0,3,2,2,4,7,3,3,3,3,3,9,5
202312,서울중랑,26,15,5,6,0,0,2,24,0,0,4,3,2,1,3,8,5,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,2,3,3,6
202312,서울강동,40,28,7,5,0,0,2,38,0,0,7,6,3,6,2,6,10,1,0,0,1,0,0,0,0,2,1,0,0,0,0,3,2,4,3,4,1,7,2,7,2
202312,서울혜화,7,6,0,1,0,0,1,4,1,1,0,2,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,0,0,0
202312,서울양천,47,35,6,6,0,0,4,43,0,0,6,9,5,5,9,8,5,1,1,0,0,0,1,0,0,1,0,1,0,1,1,2,6,2,3,0,2,5,5,9,6
202312,서울성북,20,8,8,4,0,0,2,16,1,1,4,1,4,0,1,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,3,4,2,1,3
