,시군구명,시설코드,조성년월,설치대수,데이터 기준일자
694,중구,305,,1,20221014
695,중구,307,,1,20221014
696,중구,305,,1,20221014
697,중구,302,,1,20221014
698,중구,305,,1,20221014
699,중구,301,,1,20221014
700,중구,302,,1,20221024
701,중구,301,,1,20221024
702,중구,307,,1,20221024
703,중구,305,,1,20221024
704,중구,304,,1,20221024
705,중구,304,,1,20221024
706,중구,305,,1,20221024
707,중구,307,,1,20221024
708,중구,302,,1,20221024
709,중구,305,,1,20221024
710,중구,305,,1,20221024
711,중구,305,,1,20221024
712,중구,305,,1,20221024
713,중구,305,,1,20221024
714,중구,305,,1,20221024
715,중구,305,,1,20221024
716,중구,305,,1,20221024
717,중구,307,,1,20221024
718,중구,305,,1,20221024
719,중구,305,,1,20221024
720,중구,307,,1,20221024
721,중구,302,,1,20221024
722,중구,301,,1,20221024
723,중구,305,,1,20221024
724,중구,305,,1,20221024
725,중구,304,,1,20221024
726,중구,305,,1,20221024
727,중구,302,,1,20221024
728,중구,301,,1,20221024
729,중구,308,,1,20221024
730,중구,305,,1,20221024
731,중구,301,,1,20221014
732,중구,302,,3,20221014
733,중구,305,,1,20221014
734,중구,304,,1,20221014
735,중구,307,,1,20221014
736,중구,305,,1,20221014
737,중구,305,,1,20221014
738,중구,304,,1,20221014
739,중구,307,,1,20221014
740,중구,305,,1,20221014
741,중구,302,,4,20221014
742,중구,301,,1,20221014
743,중구,305,,1,20221014
744,중구,304,,1,20221014
745,중구,307,,1,20221014
746,중구,302,,2,20221014
747,중구,305,,1,20221014
748,중구,305,,1,20221014
749,중구,304,,1,20221014
750,중구,302,,1,20221014
751,중구,307,,1,20221014
752,중구,305,,1,20221014
753,중구,302,,3,20221014
754,중구,305,,1,20221014
755,중구,301,,1,20221014
756,중구,302,,3,20221014
757,중구,305,,1,20221014
758,중구,304,,1,20221014
759,중구,307,,1,20221014
760,중구,305,,1,20221014
761,중구,307,,1,20221014
762,중구,305,,1,20221014
763,중구,304,,1,20221014
764,중구,305,,1,20221014
765,중구,302,,4,20221014
766,중구,305,,1,20221014
767,중구,305,,1,20221014
768,중구,301,,1,20221014
769,중구,305,,1,20221014
770,중구,305,,1,20221014
771,중구,302,,2,20221014
772,중구,305,,1,20221014
773,중구,305,,1,20221014
774,중구,305,,2,20221014
775,중구,305,,1,20221014
776,중구,305,,1,20221014
777,중구,301,,1,20221014
778,중구,302,,4,20221014
779,중구,305,,2,20221014
780,중구,305,,2,20221014
781,중구,305,,1,20221014
782,중구,302,,2,20221014
783,중구,304,,1,20221014
784,중구,307,,1,20221014
785,중구,305,,1,20221014
786,중구,305,,1,20221014
787,중구,307,,1,20221014
788,중구,302,,1,20221014
789,중구,301,,1,20221014
790,중구,302,,1,20221014
791,중구,302,,1,20221014
792,중구,305,,2,20221014
793,중구,307,,1,20221014
794,중구,304,,1,20221014
795,중구,305,,1,20221014
796,중구,304,,1,20221014
797,중구,305,,1,20221014
798,중구,307,,1,20221014
799,중구,305,,1,20221014
800,중구,304,,1,20221014
801,중구,305,,1,20221014
802,중구,307,,1,20221014
803,중구,305,,1,20221014
804,중구,302,,4,20221014
805,중구,301,,1,20221014
806,중구,305,,1,20221014
807,중구,305,,1,20221014
808,중구,307,,1,20221014
809,중구,305,,1,20221014
810,중구,302,,4,20221014
811,중구,301,,1,20221014
812,중구,304,,1,20221014
813,중구,305,,1,20221014
814,중구,305,,1,20221014
815,중구,307,,1,20221014
816,중구,304,,1,20221014
817,중구,301,,1,20221014
818,중구,302,,3,20221014
819,중구,304,,1,20221014
820,용산구,305,,1,20220906
821,중구,307,,1,20221014
822,중구,305,,1,20221014
823,중구,304,,1,20221014
824,중구,307,,1,20221014
825,중구,302,,1,20221014
826,중구,305,,1,20221014
827,중구,307,,1,20221014
828,중구,301,,1,20221014
